time,ice_torque_pred,car_speed_pred,soc_pred,ice_torque_true,car_speed_true,soc_true
178.0,-0.008748748,22.316578,0.6833099,0.0,27.483,0.68524
178.5,-0.008785462,22.609413,0.6830781,0.0,28.231,0.68514
179.0,-0.008785462,22.97703,0.68285143,0.0,28.831,0.68506
179.5,-0.008748748,23.371483,0.6826631,0.0,29.224,0.68499
180.0,-0.008730391,23.705227,0.6825293,0.0,29.442,0.68495
180.5,-0.008712035,23.941,0.68244344,0.0,29.503,0.68493
181.0,-0.008620251,24.061731,0.6823951,0.0,29.471,0.68491
181.5,-0.008528466,24.063124,0.68237525,0.0,29.358,0.68491
182.0,-0.00851011,23.921225,0.6823768,0.0,29.148,0.68491
182.5,-0.008583537,23.615051,0.6823904,0.0,28.781,0.68492
183.0,-0.00845504,23.09325,0.6824061,0.0,28.198,0.68494
183.5,-0.008399969,22.360865,0.6824178,0.0,27.344,0.68498
184.0,-0.008436683,21.465889,0.68242544,0.0,26.297,0.68502
184.5,-0.00845504,20.459808,0.6824338,0.0,25.134,0.68506
185.0,-0.008418326,19.359386,0.6824531,0.0,23.905,0.68511
185.5,-0.008381613,18.172129,0.6824967,0.0,22.637,0.68515
186.0,-0.008271472,16.976828,0.68257725,0.0,21.392,0.68519
186.5,-0.008234758,15.854419,0.6826735,0.0,20.252,0.68522
187.0,-0.008271472,14.831493,0.6827626,0.0,19.226,0.68525
187.5,-0.008234758,13.913955,0.6828419,0.0,18.276,0.68528
188.0,-0.008253115,13.097784,0.68291587,0.0,17.408,0.6853
188.5,-0.008253115,12.370726,0.6829839,0.0,16.628,0.68532
189.0,-0.008234758,11.713964,0.6830452,0.0,15.928,0.68533
189.5,-0.008161331,11.1135845,0.68309736,0.0,15.287,0.68534
190.0,-0.008032833,10.603761,0.6831473,0.0,14.71,0.68535
