ICE_ICE_Torque_Nm,ICE_fuel_tot_gps,ICE_NOx_eo_gps,ICE_CO_eo_gps,ICE_THC_eo_gps,ICE_T_gas_eo_K,ICE_NOx_tp_gps,ICE_CO_tp_gps,ICE_CO2_tp_gps,ICE_THC_tp_gps,ICE_T_Wall_SCR1_K,ICE_T_Wall_DOC_K,ICE_T_Sub_DPF_K,ICE_T_Wall_SCR2_K,ICE_T_Wall_SCR3_K,ICE_T_gas_tp_K,DRV_Car_Speed_kmph,DRV_SOC_1
-0.031841587,-0.00014161141,-5.6954286e-05,-4.3001684e-05,-3.3048786e-05,297.7334,-2.236845e-05,5.749683e-06,-5.6382167e-05,-1.8714536e-05,297.823,296.7368,298.64172,299.6586,299.01483,299.47543,43.649544,0.6897998
-0.031529523,-0.00014215818,-5.6460533e-05,-4.279629e-05,-3.2799202e-05,297.73645,-2.2188542e-05,5.899026e-06,-5.546786e-05,-1.8636068e-05,297.825,296.73682,298.6423,299.65305,299.00912,299.47723,43.330154,0.68983924
-0.031107318,-0.00014598551,-5.609022e-05,-4.2609572e-05,-3.257042e-05,297.73944,-2.1988646e-05,5.988631e-06,-5.4736414e-05,-1.8577217e-05,297.82684,296.7368,298.64282,299.64743,299.0034,299.4785,42.770554,0.68992764
-0.030776896,-0.00014653227,-5.5571778e-05,-4.240418e-05,-3.2320837e-05,297.74252,-2.1708789e-05,6.167842e-06,-5.394402e-05,-1.8577217e-05,297.8289,296.737,298.64322,299.64175,298.99777,299.47992,41.94259,0.69003767
-0.030428115,-0.000144892,-5.5176777e-05,-4.2292148e-05,-3.205046e-05,297.7453,-2.1488904e-05,6.227579e-06,-5.3090665e-05,-1.8557601e-05,297.83087,296.737,298.64322,299.63602,298.99234,299.48102,40.895737,0.6901335
-0.030207835,-0.000144892,-5.485584e-05,-4.21241e-05,-3.1780077e-05,297.74814,-2.1269017e-05,6.332119e-06,-5.2237316e-05,-1.8537983e-05,297.8329,296.73706,298.64362,299.63025,298.98703,299.482,39.72324,0.69017243
-0.029840698,-0.00014598551,-5.4559587e-05,-4.1918705e-05,-3.1551295e-05,297.75085,-2.112909e-05,6.40679e-06,-5.1383962e-05,-1.8459516e-05,297.83505,296.737,298.64337,299.62476,298.9814,299.48257,38.480026,0.6901243
-0.02960206,-0.00014379846,-5.4090524e-05,-4.1788004e-05,-3.134331e-05,297.75385,-2.1009151e-05,6.5113295e-06,-5.0408704e-05,-1.8518365e-05,297.83704,296.73718,298.64343,299.61926,298.97617,299.48297,37.21707,0.6901606
-0.029363422,-0.00014653227,-5.3794272e-05,-4.158261e-05,-3.117692e-05,297.75656,-2.0909203e-05,6.6158696e-06,-4.9616305e-05,-1.8577217e-05,297.83893,296.73724,298.64346,299.61356,298.9709,299.4834,35.9692,0.690361
-0.029069714,-0.00014653227,-5.342396e-05,-4.148925e-05,-3.0948137e-05,297.75946,-2.0769276e-05,6.6756065e-06,-4.8397233e-05,-1.8577217e-05,297.8411,296.73755,298.64313,299.60797,298.96564,299.48373,34.721375,0.69056404
-0.028739292,-0.00014707904,-5.3127707e-05,-4.1339874e-05,-3.0719355e-05,297.7621,-2.0609357e-05,6.7353435e-06,-4.7482925e-05,-1.8577217e-05,297.84293,296.7376,298.643,299.6024,298.96045,299.48367,33.44814,0.6907103
-0.028390512,-0.00014543875,-5.2732707e-05,-4.120917e-05,-3.053217e-05,297.76498,-2.048942e-05,6.8100144e-06,-4.656862e-05,-1.8655684e-05,297.84497,296.7376,298.64255,299.59668,298.95526,299.48373,32.053238,0.6908042
-0.028170232,-0.000144892,-5.2461142e-05,-4.1059793e-05,-3.0386578e-05,297.7677,-2.038947e-05,6.9294883e-06,-4.5654317e-05,-1.8773386e-05,297.84726,296.7377,298.64236,299.5911,298.95044,299.4835,30.506655,0.6908775
-0.02783981,-0.00014434523,-5.2115516e-05,-4.0985105e-05,-3.0199393e-05,297.77036,-2.0349491e-05,6.9742914e-06,-4.467906e-05,-1.881262e-05,297.8493,296.73782,298.64178,299.58572,298.94525,299.48294,28.813192,0.6909464
-0.027582813,-0.0001432517,-5.186864e-05,-4.0873074e-05,-2.9991408e-05,297.77292,-2.0229554e-05,7.019094e-06,-4.3642845e-05,-1.8891087e-05,297.8515,296.73798,298.64133,299.58014,298.94037,299.4823,27.039114,0.69102156
-0.027344175,-0.00014215818,-5.1572388e-05,-4.074237e-05,-2.9762625e-05,297.77557,-2.0109615e-05,7.078831e-06,-4.2789492e-05,-1.8949939e-05,297.8533,296.7381,298.6407,299.57443,298.93536,299.48178,25.314594,0.69111204
-0.027068824,-0.00014270494,-5.125145e-05,-4.057432e-05,-2.9617035e-05,297.77805,-2.0029656e-05,7.1236336e-06,-4.175328e-05,-1.9048022e-05,297.85532,296.73813,298.64023,299.5686,298.93033,299.48102,23.757734,0.6912114
-0.026793472,-0.00014161141,-5.093051e-05,-4.0518305e-05,-2.9450648e-05,297.78064,-2.0029656e-05,7.1833706e-06,-4.0838975e-05,-1.912649e-05,297.85718,296.738,298.63962,299.5631,298.92557,299.48004,22.510817,0.69132173
-0.026554834,-0.00014051789,-5.0708324e-05,-4.0406274e-05,-2.9305058e-05,297.78336,-1.9989677e-05,7.2132393e-06,-3.9863717e-05,-1.9165724e-05,297.85913,296.73816,298.63873,299.55756,298.92093,299.47906,21.59903,0.6914251
