ICE_in_ice_sp,ICE_in_mf,ICE_in_T_amb_K,ICE_in_p_amb_bar,PG_in_ice_sp,PG_in_em2_torque_soll,PG_in_torque_ICE,PG_in_brk
4392.403,13.300964,298.0,1.0,4392.403,0.0,NaN,6.16754
4500.0,16.981447,298.0,1.0,4500.0,0.0,NaN,6.367305
4132.73,10.325405,298.0,1.0,4132.73,0.0,NaN,9.974873
4121.8394,9.740779,298.0,1.0,4121.8394,0.0,NaN,15.780699
4270.088,4.9351196,298.0,1.0,4270.088,0.0,NaN,10.730386
3992.1387,3.0210578,298.0,1.0,3992.1387,0.0,NaN,9.077221
4266.0215,4.5822134,298.0,1.0,4266.0215,0.0,NaN,7.324913
3968.8528,10.898596,298.0,1.0,3968.8528,0.0,NaN,7.5767784
4500.0,8.668518,298.0,1.0,4500.0,0.0,NaN,11.702725
4132.5244,18.10226,298.0,1.0,4132.5244,0.0,NaN,8.630649
3989.1084,16.015413,298.0,1.0,3989.1084,0.0,NaN,12.665325
3793.3682,8.720944,298.0,1.0,3793.3682,0.0,NaN,14.68066
4028.228,8.673374,298.0,1.0,4028.228,0.0,NaN,7.6309533
4071.089,7.3772397,298.0,1.0,4071.089,0.0,NaN,3.601575
4003.254,11.769431,298.0,1.0,4003.254,0.0,NaN,5.05223
3984.4585,6.806449,298.0,1.0,3984.4585,0.0,NaN,4.029712
4247.755,14.016198,298.0,1.0,4247.755,0.0,NaN,6.976387
4298.907,10.559287,298.0,1.0,4298.907,0.0,NaN,3.2363772
4107.3066,7.050766,298.0,1.0,4107.3066,0.0,NaN,12.145445
4280.4985,7.4861646,298.0,1.0,4280.4985,0.0,NaN,0.0
4056.13,5.766335,298.0,1.0,4056.13,0.0,NaN,3.279239
3985.6697,4.535439,298.0,1.0,3985.6697,0.0,NaN,5.77293
3846.7297,3.0,298.0,1.0,3846.7297,0.0,NaN,10.433489
3705.7168,10.567668,298.0,1.0,3705.7168,0.0,NaN,10.499302
4316.091,7.521581,298.0,1.0,4316.091,0.0,NaN,10.138866
4500.0,9.988561,298.0,1.0,4500.0,0.0,NaN,11.513842
4069.6577,16.037743,298.0,1.0,4069.6577,0.0,NaN,6.1088295
3943.1243,13.964854,298.0,1.0,3943.1243,0.0,NaN,4.7868223
4168.891,16.128948,298.0,1.0,4168.891,0.0,NaN,10.70315
4067.9604,12.93843,298.0,1.0,4067.9604,0.0,NaN,4.809758
4080.9062,9.286588,298.0,1.0,4080.9062,0.0,NaN,15.508077
4166.816,8.202208,298.0,1.0,4166.816,0.0,NaN,19.136513
4340.0195,16.837246,298.0,1.0,4340.0195,0.0,NaN,0.0
4412.562,12.566989,298.0,1.0,4412.562,0.0,NaN,2.5370746
4290.5786,14.032807,298.0,1.0,4290.5786,0.0,NaN,0.0
4117.588,10.867562,298.0,1.0,4117.588,0.0,NaN,0.59633553
4244.7,14.189789,298.0,1.0,4244.7,0.0,NaN,9.092885
4500.0,12.02068,298.0,1.0,4500.0,0.0,NaN,7.9182057
4281.0967,13.477286,298.0,1.0,4281.0967,0.0,NaN,0.85451305
3811.1292,16.227692,298.0,1.0,3811.1292,0.0,NaN,2.2944748
4259.3184,15.778162,298.0,1.0,4259.3184,0.0,NaN,7.8837724
4046.7937,13.894525,298.0,1.0,4046.7937,0.0,NaN,4.8071833
4010.7034,14.68277,298.0,1.0,4010.7034,0.0,NaN,8.298811
4009.5752,14.898221,298.0,1.0,4009.5752,0.0,NaN,8.190113
3929.4006,12.523136,298.0,1.0,3929.4006,0.0,NaN,10.004589
