speed_actual,speed_target,soc,ice_torque,nox,co,fuel
23.993486,20.2,0.7112937,-43.77091,0.012073895,0.07704041,3.0
21.33696,17.932,0.71158916,-31.989433,0.010690129,0.08442293,8.383256912231445
18.672766,16.08,0.71184045,5.3558025,0.009416028,0.066644415,6.39089822769165
16.216845,14.64,0.71200174,18.688889,0.0079795495,0.058735315,3.0
13.99981,13.409,0.71215916,-11.893485,0.005873947,0.059449546,4.730703830718994
12.500314,12.202,0.71237713,71.50611,0.005836896,0.03462351,34.506431579589844
11.700883,10.869,0.7126349,94.05662,0.0061007994,0.014899356,3.0
10.811318,9.4186,0.7127449,-24.982151,0.0067745517,0.023511441,3.0
9.5947695,7.8545,0.71268404,68.54404,0.010606373,0.01957361,52.03193283081055
7.723628,6.3275,0.7126083,110.684044,0.008968449,0.011854428,3.0
5.986675,5.0192,0.71271735,-39.769955,0.0097564915,0.04310914,3.0
4.2315784,3.972,0.71276957,75.8521,0.012031117,0.034535196,48.967613220214844
3.5892534,3.0963,0.71293944,124.701164,0.0086451555,0.016094618,3.0
3.5529115,2.2677,0.71310776,-63.79688,0.008212789,0.04767809,3.0
2.0188084,1.3384,0.71301687,73.188286,0.00977923,0.041124556,35.68409729003906
1.2875721,0.49871,0.7131624,79.54613,0.009543672,0.032903623,3.0
0.793626,0.032909,0.71327287,-58.752693,0.0078033204,0.06829059,3.0
-0.65834564,0.0007683,0.71318763,72.54804,0.011820216,0.048898183,45.65574645996094
0.088044025,0.00052413,0.71351117,133.94502,0.0072559332,0.020210914,7.464385986328125
1.0115913,0.00035677,0.71382725,-57.903507,0.008932778,0.04755081,3.0
-0.035231188,0.00024284,0.7136847,76.90069,0.009040361,0.039503522,39.788089752197266
0.1316371,0.00016529,0.71394396,96.358574,0.009064639,0.02838317,3.0
0.6185505,0.0001125,0.7141801,-54.347504,0.0072433297,0.060938742,3.0
-0.15149091,7.66e-05,0.7140528,72.50095,0.011177958,0.044821247,48.84041213989258
0.16478486,5.21e-05,0.7142294,110.113464,0.007214055,0.023330303,3.0
0.636233,3.55e-05,0.7143755,-58.420433,0.008177637,0.056866385,3.0
-0.12044952,2.41e-05,0.7142267,72.1644,0.010156835,0.043448698,48.3613166809082
0.10866785,1.64e-05,0.7143288,105.89955,0.007944457,0.02580434,3.0
0.5179916,1.12e-05,0.7144339,-58.39374,0.0077468897,0.06034233,3.0
-0.14986956,7.61e-06,0.7143261,72.12936,0.0107098,0.045148678,51.12548828125
0.1283043,5.18e-06,0.7144179,108.555595,0.007442217,0.025134956,3.0
0.5021279,3.53e-06,0.71452,-59.657295,0.008066035,0.06041099,3.0
-0.13869673,2.4e-06,0.71446806,72.29378,0.010493461,0.04534944,51.4794807434082
0.12157289,1.63e-06,0.7145639,107.91904,0.007526793,0.025986634,3.0
0.46278223,1.11e-06,0.71466273,-59.8293,0.008001818,0.0616074,3.0
-0.13520111,7.57e-07,0.71466833,72.39419,0.010559257,0.045855816,52.39915084838867
0.1247671,5.15e-07,0.7147682,108.39136,0.0073385607,0.026094317,3.0
0.4447845,3.51e-07,0.71486205,-59.93195,0.008052552,0.061890576,3.0
-0.13078049,2.39e-07,0.714911,72.480705,0.010482467,0.04584616,52.81583023071289
0.120685995,1.62e-07,0.7150119,108.377525,0.0072319056,0.026220169,3.0
0.42635712,1.11e-07,0.7150986,-59.866306,0.0080044065,0.061973777,3.0
-0.13038553,7.53e-08,0.71517664,72.56905,0.010434842,0.045566764,53.24401092529297
0.11801491,5.12e-08,0.7152755,108.59102,0.0070795743,0.025970729,3.0
0.41373616,3.49e-08,0.71535414,-59.85386,0.007940849,0.06151501,3.0
-0.13025042,2.37e-08,0.71544987,72.678795,0.010349676,0.044847514,53.533451080322266
0.11486227,1.62e-08,0.7155444,108.726036,0.006944284,0.025475167,3.0
0.40224463,1.1e-08,0.7156144,-59.85175,0.007831626,0.060641583,3.0
-0.1307008,7.49e-09,0.71572,72.81089,0.010258793,0.043711737,53.79423522949219
0.112236224,5.09e-09,0.7158094,108.8886,0.0068059955,0.024670495,3.0
0.3922497,3.47e-09,0.7158715,-59.87075,0.007693917,0.05928103,3.0
